public_reference,mileage,standard_colour,standard_make,standard_model,vehicle_condition,year_of_registration,price,body_type,crossover_car_and_van,fuel_type
APTH0VZ9,4969,Grey,Toyota,Camry,Certified Used,2019,49393,SUV,True,Diesel
DEO8OJ4B,111481,Green,Chevrolet,Malibu,Certified Used,2011,38952,Truck,True,Hybrid
YQM5RY7U,1535,Grey,Audi,A6,Certified Used,2020,49461,Convertible,False,Hybrid
O3GZHY5T,25181,Yellow,Honda,Civic,New,2010,52829,Hatchback,False,Electric
05JRBQFH,220437,Silver,Ford,Escape,Used,2001,19861,Sedan,True,Hybrid
O6UPDDUG,42457,White,Honda,Civic,Used,2000,33820,Truck,False,Hybrid
82RQ0262,69342,Red,Honda,CR-V,Certified Used,2008,38380,SUV,False,Hybrid
Z2T7DB3O,26777,Black,Chevrolet,Malibu,New,2023,59121,Coupe,True,Diesel
VJR43Q6Z,165456,Grey,Ford,Focus,Certified Used,2003,28477,Coupe,False,Petrol
TL28U9E9,82975,Green,Audi,A4,New,2016,49520,Sedan,True,Diesel
M1TVFP57,69241,Black,Kia,Optima,Certified Used,2007,41106,Convertible,False,Diesel
GG7KPXKT,225661,Brown,Audi,A6,New,2007,30185,Sedan,True,Diesel
O17NPLD9,28288,Green,Hyundai,Elantra,New,2017,53753,Truck,True,Petrol
9UHPK0KR,36492,Grey,Kia,Sorento,Used,2013,37454,Sedan,False,Hybrid
U992S5KM,129701,Yellow,Hyundai,Elantra,Certified Used,2010,37622,Coupe,True,Electric
FSRD5MQY,7738,Black,Audi,A6,Certified Used,2007,43744,Coupe,False,Electric
N31O6AWE,145675,Green,Hyundai,Sonata,Used,2009,27171,Coupe,False,Hybrid
YEZCB18H,62325,Brown,Nissan,Rogue,Used,2009,35522,Convertible,False,Electric
4X2QK3NA,13263,Black,Hyundai,Elantra,Used,2008,35651,Hatchback,True,Hybrid
IL7NI7PZ,110356,Silver,Kia,Sorento,New,2009,43773,SUV,False,Hybrid
2MGBX624,60713,Brown,Nissan,Sentra,Used,2012,34314,Hatchback,True,Petrol
7XA4K273,94662,White,Audi,Q5,New,2004,43040,Truck,False,Hybrid
PCF9SOKR,40850,Red,Nissan,Sentra,Certified Used,2003,42018,SUV,False,Electric
0OQ6CPZH,116339,Yellow,Audi,Q5,Certified Used,2002,31625,Convertible,True,Hybrid
YPLB8F6M,132305,Orange,Hyundai,Tucson,New,2011,42111,Truck,True,Hybrid
RN56B36Q,4508,Grey,Honda,Accord,New,2012,56093,Coupe,True,Petrol
63EUM824,77585,Brown,Ford,F-150,Used,2012,31939,Coupe,False,Petrol
ARR904TK,223552,Brown,Volkswagen,Tiguan,Certified Used,2011,26489,Convertible,True,Petrol
HNG55LHO,156937,Blue,Kia,Sportage,Certified Used,2000,28745,Coupe,True,Hybrid
RL7XWWAL,121708,Black,Chevrolet,Equinox,Certified Used,2002,32197,SUV,False,Electric
EN6LWU4E,222402,White,Audi,A4,Certified Used,2009,25446,Convertible,True,Petrol
E3FDGKFO,47554,Blue,Nissan,Altima,Certified Used,2018,46628,Hatchback,False,Hybrid
169ID2N2,88298,Orange,Volkswagen,Passat,Used,2019,35242,Sedan,True,Diesel
E3PVJOP2,44725,Silver,Ford,Focus,Certified Used,2023,47338,SUV,False,Diesel
SDMMZ6I2,47101,Silver,Audi,Q5,New,2000,45065,Convertible,False,Hybrid
VVL9AC1S,239726,Silver,Audi,Q5,New,2015,33623,Convertible,False,Diesel
8YYLCAGO,10642,Grey,Kia,Sorento,Certified Used,2017,49318,Sedan,True,Hybrid
9P4PEI3K,127663,Blue,Chevrolet,Malibu,Certified Used,2004,31610,Hatchback,False,Petrol
D0EA6NWT,197589,White,Audi,Q5,New,2023,41601,Coupe,False,Electric
HBTTV29H,219884,White,Hyundai,Sonata,Certified Used,2010,27867,Sedan,True,Diesel
IWHO69ST,52848,Green,Nissan,Sentra,Used,2013,36175,Truck,False,Petrol
D2IHE4ZC,134602,Grey,Kia,Sportage,New,2002,37116,Hatchback,False,Diesel
VATNL12J,168057,Silver,Volkswagen,Tiguan,Used,2011,26675,Hatchback,True,Diesel
1XFUCYE8,117033,Orange,Volkswagen,Golf,Used,2001,27470,Hatchback,True,Diesel
L1X3Y5Q4,1486,White,Nissan,Rogue,New,2024,61918,Coupe,True,Electric
WRA15T2O,63582,Red,Audi,Q5,New,2001,45438,SUV,False,Diesel
BMUL9VQE,81310,Yellow,Kia,Optima,Used,2000,30964,Convertible,False,Diesel
VYK3MBJU,97517,Blue,Hyundai,Tucson,New,2018,49789,Truck,True,Diesel
739PIT9T,232690,Grey,Ford,Escape,Used,2014,24762,Coupe,False,Diesel
UNS1G08J,108044,Grey,Toyota,Corolla,Certified Used,2013,38985,Sedan,True,Diesel
6AB11I03,217394,Orange,Ford,Focus,Used,2001,19551,Coupe,True,Hybrid
GWU45Z5V,116862,Red,Nissan,Rogue,Certified Used,2014,39936,Sedan,False,Hybrid
SLBC0XCS,215824,Silver,Toyota,Camry,Used,2014,25869,Truck,False,Electric
JPSCHI0F,187960,Grey,Audi,Q5,New,2021,42087,Hatchback,True,Diesel
38SNQ8U0,214349,Blue,Volkswagen,Tiguan,Used,2002,19935,Truck,True,Hybrid
O83QIZKY,246555,Blue,Kia,Optima,New,2000,25518,SUV,True,Hybrid
ILQK8J2H,161945,Black,Toyota,RAV4,New,2019,43012,Convertible,True,Petrol
EWO1H0EV,232422,Orange,Audi,A4,Used,2017,25615,Sedan,False,Diesel
QSQ2VY66,142499,Brown,Nissan,Altima,Used,2019,31594,Sedan,False,Hybrid
GYH2BWCQ,21938,Orange,Audi,Q5,Used,2006,37078,Sedan,True,Petrol
FIW64ZGX,177231,Red,Toyota,Camry,New,2016,40859,Convertible,True,Diesel
RH3FDRK8,158143,Silver,Ford,F-150,Used,2017,29140,Coupe,True,Hybrid
DY9B0OIS,97342,Red,Hyundai,Elantra,Certified Used,2018,40468,Hatchback,False,Petrol
ZJ84FWJ4,51932,Orange,Nissan,Sentra,New,2017,55145,SUV,True,Diesel
TKPWSAW9,38278,White,Kia,Sorento,New,2012,52848,Hatchback,False,Electric
9519PF04,244890,Brown,Kia,Sportage,Used,2010,22500,Sedan,True,Hybrid
7JMOO1IO,132731,Black,Ford,Focus,Used,2020,34234,Truck,True,Diesel
RQVYCAFQ,219265,Black,Chevrolet,Silverado,New,2017,34858,Sedan,True,Petrol
T9O9TAH1,91098,Brown,Kia,Sportage,Certified Used,2015,42489,Hatchback,False,Hybrid
WP6E7VMQ,209211,Silver,BMW,5 Series,Certified Used,2023,35441,Coupe,False,Petrol
70RTV5FF,44330,Black,Chevrolet,Silverado,New,2000,45269,Truck,True,Hybrid
I785D2G1,75584,White,Honda,CR-V,New,2024,55128,Sedan,True,Diesel
D0BAID5B,146313,Brown,BMW,3 Series,Certified Used,2020,37020,Sedan,False,Diesel
ORXAMSWO,109889,Silver,Volkswagen,Tiguan,Used,2012,32475,Sedan,False,Electric
Z09VERXP,133575,Grey,BMW,5 Series,Certified Used,2005,34172,Hatchback,True,Hybrid
QZCGYT1Y,97456,Black,Toyota,RAV4,Certified Used,2008,35825,Coupe,True,Petrol
C7DHEXJ5,228655,Red,Hyundai,Sonata,Certified Used,2018,30895,Hatchback,True,Hybrid
UWCEGD0O,52996,Red,Toyota,Corolla,New,2020,53746,Convertible,False,Diesel
VRTN51OD,175595,Yellow,Honda,CR-V,Used,2000,23783,Sedan,True,Hybrid
5162GFN8,69896,Silver,Kia,Sportage,New,2001,42328,Convertible,True,Diesel
V337L533,118590,Grey,Kia,Optima,Used,2003,27330,Coupe,True,Hybrid
F9E0Q5X5,20138,Red,Kia,Optima,Certified Used,2009,45403,Sedan,False,Petrol
LKHAHO39,105368,Silver,Volkswagen,Golf,Certified Used,2009,37872,SUV,False,Diesel
6CI5EM0Z,106292,Red,Ford,F-150,New,2002,40449,Coupe,False,Electric
IIDED5OH,213610,Silver,BMW,3 Series,New,2017,35549,Sedan,False,Hybrid
KM1RSG4V,104663,Blue,Kia,Sportage,Used,2007,31250,Truck,False,Petrol
TH6VTH1I,211994,Orange,Nissan,Altima,New,2006,33660,Convertible,True,Hybrid
Z03TXNIO,233008,Green,Nissan,Sentra,New,2005,29515,Truck,False,Hybrid
E6GW7FN4,50436,Grey,Audi,Q5,Certified Used,2017,46704,Sedan,False,Diesel
4NO8YC4O,13878,Brown,Audi,A6,Used,2023,42757,Coupe,False,Petrol
00X5WH2P,101841,Silver,Toyota,Camry,Used,2001,29473,Sedan,True,Petrol
DHYCZLM6,212895,Grey,Honda,CR-V,Certified Used,2004,26178,Convertible,False,Hybrid
04G186WC,216272,Yellow,Chevrolet,Equinox,New,2009,33686,Coupe,False,Hybrid
R0B4HLMR,242818,Green,Honda,Accord,Used,2019,23189,Truck,False,Diesel
UJRCIYNG,119749,Orange,Chevrolet,Malibu,Certified Used,2023,42314,SUV,False,Petrol
HZ05XJDD,244815,Silver,Nissan,Altima,New,2009,30993,Truck,True,Diesel
X80TLNIU,40015,Silver,Honda,Civic,New,2003,49432,Hatchback,True,Electric
BZ17D7HA,194283,Black,Audi,A4,Used,2008,25769,Convertible,True,Electric
XV1B4CVU,67869,Yellow,Toyota,Camry,Used,2006,34105,Truck,True,Diesel
71B43MQ4,163169,Orange,Ford,F-150,Used,2005,26158,SUV,False,Diesel
16TLXSBH,137665,Grey,Toyota,Camry,New,2000,35550,Coupe,True,Petrol
G5970I8O,83873,Green,Ford,F-150,Certified Used,2019,42734,Convertible,False,Petrol
H3Y3T1QU,50614,Brown,Chevrolet,Malibu,Used,2019,37873,Hatchback,True,Petrol
22OMFIWY,38092,Silver,Audi,A4,Certified Used,2013,46060,Truck,False,Petrol
4L16QWM9,221570,Red,Toyota,Corolla,Certified Used,2011,30141,Coupe,False,Petrol
ZMUFELNF,26710,Yellow,BMW,X5,Used,2014,36444,Truck,True,Petrol
8FS5QXZT,143702,White,Hyundai,Tucson,Certified Used,2024,41241,Coupe,False,Electric
2BTFHQ73,6681,Brown,Ford,F-150,New,2020,57764,Convertible,True,Hybrid
QMJFI2MT,5487,Yellow,Audi,A4,Certified Used,2005,46012,Convertible,True,Petrol
3FBNUL42,136644,Blue,Chevrolet,Equinox,New,2003,39650,Hatchback,False,Electric
SHNS9UAH,43185,Black,Honda,CR-V,Certified Used,2001,38998,Hatchback,True,Electric
V4XMAA2K,70724,Green,Audi,A4,Certified Used,2007,40261,SUV,False,Hybrid
NZRNO4KK,187490,Green,Volkswagen,Golf,Certified Used,2021,36203,Hatchback,True,Electric
VKVT9YVG,224686,Orange,Audi,A4,Certified Used,2006,27087,Hatchback,True,Diesel
3MQNX86H,156261,Brown,Chevrolet,Silverado,Used,2023,31149,Convertible,True,Diesel
10944IUL,60388,Red,Kia,Sorento,New,2007,49263,Truck,True,Diesel
N4PYHS2F,45517,Brown,Chevrolet,Malibu,Certified Used,2009,40839,Hatchback,True,Diesel
TP43ZVWQ,168260,Red,Hyundai,Tucson,Used,2005,25583,SUV,True,Electric
2L813KV1,79160,Orange,Kia,Optima,New,2012,47762,SUV,True,Petrol
PJNZJ8VW,217944,Orange,Ford,Escape,Certified Used,2018,32982,Hatchback,False,Petrol
MR27NL84,195973,Red,Chevrolet,Silverado,Certified Used,2023,37338,Coupe,True,Petrol
U5599ZMF,114924,Brown,Honda,Civic,New,2017,45880,Convertible,True,Diesel
KRP2XP3W,240714,Blue,Volkswagen,Golf,Certified Used,2004,24878,Coupe,False,Hybrid
O6HP63WK,85748,Red,Honda,Accord,Used,2018,35096,Hatchback,True,Electric
C65JKIXW,36787,Yellow,BMW,X5,New,2021,57748,Truck,False,Petrol
FRDY7II4,47626,Brown,Honda,Accord,Used,2005,32499,Truck,False,Hybrid
2PWSU4D0,145351,Yellow,Volkswagen,Tiguan,Certified Used,2013,34625,Sedan,False,Electric
IZQD0YQD,220751,Brown,Hyundai,Sonata,Used,2000,19355,Sedan,True,Diesel
1KKS69IU,147251,Green,Ford,F-150,New,2004,39216,SUV,True,Hybrid
UHLGBPFL,210495,Red,Ford,Escape,Certified Used,2020,34208,Hatchback,False,Electric
BVG8HPZU,185064,Black,Chevrolet,Silverado,Certified Used,2015,31234,Sedan,True,Hybrid
645QO8BG,188102,White,Hyundai,Tucson,Certified Used,2017,32906,SUV,True,Hybrid
KEIDPAIK,157063,Silver,BMW,X5,Certified Used,2022,39156,Sedan,False,Petrol
57ZMVJL3,161341,Red,Hyundai,Tucson,New,2009,37217,Sedan,True,Petrol
A2DDX9GQ,120212,Yellow,Toyota,RAV4,New,2023,48397,SUV,True,Hybrid
ONBASAX9,51840,Black,Audi,A4,Used,2007,32884,Truck,True,Diesel
4C29WUEY,8766,Orange,Chevrolet,Silverado,Certified Used,2008,43423,Convertible,False,Electric
TB3J2LQK,23365,Black,Ford,Focus,Certified Used,2018,47867,Hatchback,True,Hybrid
K9W5GS6C,212751,Blue,BMW,5 Series,New,2023,40153,Coupe,True,Hybrid
MF67V70T,36756,Red,Volkswagen,Tiguan,New,2005,49847,Hatchback,True,Hybrid
RJOUTEN8,121095,Blue,BMW,5 Series,Certified Used,2007,33730,SUV,True,Diesel
32DG6A3B,146437,Yellow,Ford,Focus,Certified Used,2009,34287,Coupe,True,Hybrid
JS3GCD8C,56316,Green,Hyundai,Sonata,Used,2006,34190,Hatchback,False,Hybrid
L4GRTLK6,161667,Silver,Hyundai,Sonata,New,2018,44054,Coupe,False,Hybrid
EY46AJ08,13913,Grey,Nissan,Rogue,New,2024,58630,Convertible,True,Diesel
TGVS8WIE,78313,Black,Chevrolet,Malibu,New,2021,50709,Hatchback,True,Diesel
QNO8L0WN,90571,Grey,Toyota,Camry,Certified Used,2007,38576,Coupe,False,Diesel
VG1K7MUY,142346,White,Ford,F-150,Used,2009,26362,Sedan,False,Diesel
3075PK4K,157397,Silver,BMW,X5,New,2004,35615,Sedan,True,Hybrid
8QBQ9KZY,212645,Blue,Hyundai,Elantra,Used,2004,20746,Convertible,False,Diesel
U0N96WFH,156453,Red,Ford,F-150,Used,2021,31133,Truck,True,Diesel
FIE28QSA,239151,Green,Volkswagen,Tiguan,New,2014,33996,Convertible,False,Diesel
EQFGFIFD,101257,Red,Volkswagen,Passat,New,2005,42842,Hatchback,True,Electric
85Y6RFFW,212506,White,Audi,A6,Used,2011,23745,Sedan,False,Petrol
9O1TSN7V,172573,Red,Kia,Optima,Certified Used,2020,35696,Sedan,False,Petrol
EUWHGES3,21455,Silver,Honda,Accord,Certified Used,2008,42126,Truck,True,Hybrid
UR39WP6K,207794,Blue,Volkswagen,Golf,Used,2021,27785,Convertible,True,Petrol
8MZXLX7D,100095,Green,Nissan,Sentra,Certified Used,2012,39156,Hatchback,True,Hybrid
D3PKO7TH,160292,Silver,Honda,Civic,New,2018,42035,SUV,True,Electric
P2DZKURT,244004,Brown,Volkswagen,Passat,Used,2004,18102,Truck,False,Electric
EYDQEO2B,225673,Blue,Ford,Escape,Used,2019,25202,Convertible,True,Diesel
VYI0H828,137569,Red,Ford,F-150,New,2007,39385,Truck,True,Hybrid
JE2ICIS9,161549,White,Nissan,Altima,Used,2005,25310,Coupe,True,Electric
AMREDX5O,25435,Green,Volkswagen,Tiguan,Certified Used,2006,44585,SUV,True,Hybrid
MD75TFY9,247428,Green,Volkswagen,Passat,New,2017,34964,Coupe,False,Hybrid
039BBRSS,168024,Orange,Hyundai,Sonata,Certified Used,2003,28483,SUV,False,Hybrid
CSVMSBYM,111349,Grey,Ford,Focus,New,2024,51215,Truck,True,Diesel
ESI4JYR3,181443,Blue,Hyundai,Elantra,Used,2011,27275,Hatchback,False,Hybrid
WG2JNEPX,184621,Red,Honda,Civic,Certified Used,2003,29750,Convertible,False,Electric
ZZ5V47SO,158917,Blue,Chevrolet,Silverado,Used,2011,28290,SUV,True,Diesel
25PL3M9Z,6194,Grey,Honda,Accord,New,2022,60809,Sedan,False,Diesel
DUJ15YQZ,127807,Red,Kia,Sorento,Certified Used,2020,41699,Coupe,True,Diesel
VG45PM3B,194282,Red,Volkswagen,Passat,New,2004,33114,Coupe,True,Electric
8E52NIN5,195710,Silver,Volkswagen,Passat,Certified Used,2007,29043,Convertible,True,Diesel
MMRZLI7N,63131,Orange,Ford,F-150,Certified Used,2007,38158,Coupe,True,Diesel
FK6FRXN8,119498,Green,Kia,Sportage,Certified Used,2021,39866,Sedan,False,Hybrid
EG704REU,61237,Grey,Hyundai,Sonata,Certified Used,2022,46357,Sedan,False,Hybrid
4OI3XGYX,127895,Blue,Volkswagen,Tiguan,Certified Used,2011,37722,Convertible,True,Petrol
AR19PNMY,245229,Silver,Hyundai,Sonata,Used,2019,26468,Convertible,True,Diesel
R9JVCZYM,48548,Orange,Kia,Sorento,Used,2004,32906,Coupe,True,Electric
MCJLG17R,110562,Grey,Ford,Focus,Used,2011,32373,Coupe,True,Diesel
1AY3JMJI,222794,Black,BMW,X5,New,2013,33081,Hatchback,True,Diesel
Z7BC1OFA,87432,Orange,Nissan,Rogue,New,2014,47460,Coupe,True,Electric
BXL2N8R4,157772,Blue,Kia,Sorento,Used,2010,28876,Sedan,True,Diesel
XX1NKNN6,249722,Red,Ford,F-150,Certified Used,2013,27238,Truck,False,Hybrid
T56IPEZQ,93249,Black,BMW,5 Series,Certified Used,2010,40202,Hatchback,False,Petrol
9KLJFT8O,32691,Brown,Kia,Sorento,Certified Used,2013,44636,Sedan,False,Electric
8E4SALEX,36206,Grey,Kia,Optima,Used,2020,40255,Coupe,False,Petrol
QC4C4VX4,151015,Brown,Volkswagen,Tiguan,New,2009,39408,Convertible,True,Hybrid
L4EVCM2C,198420,Brown,Volkswagen,Tiguan,New,2024,42287,Coupe,False,Diesel
N4FEOTZK,28856,Yellow,Volkswagen,Golf,Certified Used,2012,43407,Hatchback,False,Hybrid
Q38MG2CH,249122,Yellow,Kia,Optima,New,2006,30033,Hatchback,True,Hybrid
NPND56GG,26837,Blue,Audi,A6,Used,2018,40742,Coupe,False,Electric
T1FXWXNG,222687,Orange,Audi,A4,Certified Used,2020,33770,Hatchback,False,Diesel
B43EPQRN,119711,Grey,BMW,X5,New,2006,40376,SUV,True,Diesel
G8ZXTNRM,30561,Orange,Hyundai,Tucson,New,2020,57968,SUV,True,Diesel
CQ064QHX,171338,Yellow,Hyundai,Tucson,Certified Used,2020,35361,Truck,False,Electric
TNZ3MDCX,40967,Yellow,Chevrolet,Silverado,Certified Used,2021,47246,Truck,True,Diesel
V8VUCBS7,97115,White,Kia,Sorento,New,2023,50029,SUV,True,Hybrid
8XL8BBU2,95073,Yellow,BMW,3 Series,New,2023,50926,Hatchback,True,Diesel
111JD6LC,67945,Black,Hyundai,Elantra,Used,2024,39544,Coupe,True,Electric
E92V76W8,10492,Yellow,Nissan,Sentra,Used,2018,42473,Convertible,True,Diesel
S7U066QG,38618,Green,Audi,A4,Used,2010,36449,Coupe,True,Electric
EJS1TR70,43521,Yellow,Audi,A4,Used,2009,36822,Coupe,False,Electric
QFPH0DLJ,190747,Brown,Audi,A6,Certified Used,2021,34681,Truck,True,Hybrid
JMTTHPA1,207058,Black,Hyundai,Elantra,Certified Used,2002,27207,Coupe,True,Petrol
L51TAJG3,17511,Brown,Toyota,RAV4,Certified Used,2023,49495,SUV,False,Petrol
SQILKXYN,133208,Grey,BMW,5 Series,Certified Used,2023,40021,Coupe,False,Hybrid
6UVSCACN,194742,Orange,Toyota,RAV4,Certified Used,2001,25063,Coupe,False,Electric
33AL87K0,34742,Black,Hyundai,Tucson,Used,2018,38951,Truck,False,Hybrid
GRFDNTY0,169944,White,Kia,Sorento,Certified Used,2017,33967,Convertible,False,Electric
LUF1GFHO,130757,Silver,Chevrolet,Malibu,New,2020,47190,SUV,False,Diesel
5DFF7PJ3,103123,Green,Volkswagen,Passat,Certified Used,2013,37977,SUV,False,Diesel
LWZUZQMG,194758,Orange,Audi,Q5,Used,2002,20620,Coupe,True,Petrol
J8OZOIYJ,97611,Black,Volkswagen,Tiguan,Certified Used,2023,45495,Coupe,False,Petrol
EKJB1A4M,131607,White,Hyundai,Elantra,Certified Used,2002,30647,Coupe,True,Electric
AWOSQA06,228172,Black,Ford,Escape,New,2019,35504,Sedan,True,Diesel
N6SHT8O3,184254,Orange,Honda,Accord,Used,2004,23782,Hatchback,True,Diesel
427ZCYCJ,247634,Orange,Hyundai,Tucson,Used,2001,18887,Truck,True,Electric
ZGITLVEX,249780,Orange,BMW,3 Series,Certified Used,2018,26951,Convertible,False,Diesel
G27HCUKT,102372,Grey,Ford,F-150,New,2001,38824,Truck,True,Electric
R8L73XRL,89994,Blue,Ford,F-150,Certified Used,2014,39880,SUV,True,Diesel
6U6P5V6D,11206,Red,Chevrolet,Malibu,Used,2016,40380,Truck,False,Hybrid
R8EGC1Y8,14185,Orange,Toyota,Camry,Used,2000,35325,Hatchback,True,Electric
KVMNHFJL,209671,Red,Volkswagen,Passat,Used,2024,28084,Sedan,True,Hybrid
FNT0PQV4,19028,Grey,Ford,F-150,Used,2021,42885,Convertible,True,Diesel
YHPEGK7A,95073,Orange,Chevrolet,Silverado,Used,2006,29748,Sedan,False,Diesel
YPTDZA93,112948,Silver,BMW,5 Series,Used,2014,31829,Sedan,False,Petrol
E1I7SHS0,58466,Grey,Kia,Optima,Used,2019,38225,SUV,True,Electric
WQ88ASJ6,147219,Grey,Kia,Sportage,Used,2011,27107,Sedan,False,Electric
8T2UT9UC,221652,Red,Kia,Optima,Used,2012,23710,Sedan,True,Electric
OKGLLFKZ,155960,Silver,Hyundai,Elantra,Certified Used,2017,36413,Sedan,True,Hybrid
5M2RCYWM,156038,Brown,Toyota,Camry,Used,2003,27056,SUV,True,Diesel
2UA5AO0C,195424,Silver,Kia,Sorento,New,2016,38437,Convertible,True,Electric
JAYOFE4D,14695,Green,Kia,Sportage,New,2007,53660,Truck,False,Petrol
4ZAEJBE8,126634,Orange,Ford,Escape,Used,2024,34951,Coupe,True,Petrol
V82UMSCQ,219156,Grey,Toyota,Corolla,Used,2019,25568,Coupe,False,Petrol
KVULMVV2,16038,Grey,Volkswagen,Passat,Certified Used,2005,41417,Sedan,True,Electric
E1O0BSVR,243932,Yellow,Honda,Civic,Used,2005,18712,SUV,True,Petrol
GTNCO7GD,221351,Silver,Kia,Optima,Certified Used,2014,29334,Convertible,True,Diesel
IAO60FZD,214105,White,Honda,Accord,Certified Used,2023,33339,Truck,True,Electric
IDTSXCXC,120405,Grey,Nissan,Sentra,New,2014,43865,Hatchback,True,Electric
L1ZR5R11,227296,Blue,Ford,Focus,New,2006,28692,Convertible,False,Hybrid
8YIYCZI9,6957,Green,Toyota,Camry,New,2021,58055,Coupe,True,Electric
HS4Z681P,38677,Yellow,Honda,Civic,New,2019,56807,Truck,True,Electric
RW3G2AMV,87883,Yellow,BMW,5 Series,New,2002,43557,Sedan,False,Hybrid
7TCMMZ1Y,111608,Black,Chevrolet,Silverado,New,2005,39826,Convertible,True,Electric
06FDK7YJ,40378,Grey,BMW,5 Series,Certified Used,2023,48951,Sedan,False,Petrol
6H4LKKRH,217936,Grey,Kia,Sorento,Used,2012,23537,Coupe,True,Electric
KQUFTNLL,21300,Orange,Toyota,Camry,Certified Used,2022,50944,Truck,False,Electric
7VBR0T3Y,200973,Grey,Audi,Q5,Used,2013,25853,Sedan,False,Diesel
YWMQOLBY,76648,Silver,Volkswagen,Tiguan,New,2008,48305,Hatchback,True,Electric
FEN371OA,75173,Silver,Audi,A6,Used,2003,29638,SUV,True,Petrol
X9JXC9RJ,247054,Red,Honda,CR-V,Used,2018,22838,Truck,True,Hybrid
3O7FJ8V0,200564,Grey,Chevrolet,Malibu,Certified Used,2018,33364,Sedan,False,Petrol
TLLVZOVX,234938,Brown,Chevrolet,Equinox,Certified Used,2001,21226,Sedan,True,Petrol
QW7IDUSW,210946,Grey,Hyundai,Elantra,Certified Used,2002,26324,Hatchback,False,Hybrid
7GYOUBPI,102514,Silver,Audi,A6,Certified Used,2024,45523,Truck,True,Electric
FYMFFTLD,202494,Silver,Hyundai,Elantra,New,2023,40281,Sedan,False,Hybrid
DCLY6HYC,242383,Yellow,Audi,A6,Certified Used,2001,24002,Convertible,True,Petrol
0R8VSULS,162166,Red,Nissan,Rogue,Used,2011,25951,Convertible,True,Diesel
ZUZFGSM6,164321,Black,Hyundai,Sonata,Used,2020,30097,SUV,True,Hybrid
LTK50OAE,216595,Red,Chevrolet,Equinox,Used,2009,23701,Coupe,False,Diesel
OGYLDN07,7768,Orange,Ford,F-150,Used,2016,39383,Truck,False,Hybrid
92RI30AC,101810,Red,Honda,Accord,Certified Used,2006,35199,Hatchback,True,Diesel
YVI5096E,221306,Black,Nissan,Rogue,Certified Used,2004,27388,Convertible,False,Electric
SUQDNK2E,79781,Grey,Ford,Escape,Used,2006,31897,Sedan,False,Hybrid
XH7H4YLC,198684,Grey,Kia,Sportage,Used,2003,20169,Hatchback,False,Hybrid
XGB51SMU,73141,White,Toyota,Camry,Certified Used,2008,39025,Coupe,True,Electric
Z0Y3YLRW,50842,Red,Nissan,Rogue,Used,2013,34498,SUV,False,Diesel
HMRCKBBJ,97662,Silver,Nissan,Rogue,New,2011,46616,Coupe,False,Hybrid
